1752538180.5277143,"{'x': 0.015861465830468068, 'y': 0.014368631721527388, 'z': 0.01839293894606069}"
1752538180.5447373,"{'x': 0.015958583066651804, 'y': 0.01424266450599732, 'z': 0.018432898090914265}"
1752538180.5617163,"{'x': 0.01603406482340608, 'y': 0.014137407822161866, 'z': 0.018403466916398537}"
1752538180.5787003,"{'x': 0.015861569561298704, 'y': 0.014343809073057816, 'z': 0.018299423741316528}"
1752538180.5954714,"{'x': 0.015948309770220822, 'y': 0.01432439657359381, 'z': 0.018420490146544066}"
1752538180.612251,"{'x': 0.015913477308165013, 'y': 0.014231243159684335, 'z': 0.01843723173674411}"
1752538180.6290348,"{'x': 0.015894091141104412, 'y': 0.014186424618610895, 'z': 0.01837115830415766}"
1752538180.6458156,"{'x': 0.015892959359793585, 'y': 0.014199945238437128, 'z': 0.018358670959406926}"
1752538180.662596,"{'x': 0.015906658405170727, 'y': 0.014339630756615169, 'z': 0.018433349626437296}"
1752538180.6793616,"{'x': 0.01597637233135999, 'y': 0.014192357251361467, 'z': 0.018417863057060883}"
1752538180.6961653,"{'x': 0.016073177754834248, 'y': 0.014229816158627173, 'z': 0.018447888136699394}"
1752538180.712937,"{'x': 0.015879813635867202, 'y': 0.014250378664482404, 'z': 0.018407623544527255}"
1752538180.7296903,"{'x': 0.015964640680347062, 'y': 0.014343698898746557, 'z': 0.01835920156052599}"
1752538180.7464464,"{'x': 0.015946716796595324, 'y': 0.0143888629644527, 'z': 0.018403034490455394}"
1752538180.7631934,"{'x': 0.015872391475430316, 'y': 0.014338853090552205, 'z': 0.018368669585182098}"
1752538180.7799618,"{'x': 0.015952462504272374, 'y': 0.014152111690718434, 'z': 0.018420876658561153}"
1752538180.7967403,"{'x': 0.015907307255381326, 'y': 0.014266698668338152, 'z': 0.018394493850973682}"
1752538180.8135028,"{'x': 0.016249511363959534, 'y': 0.014238690403793159, 'z': 0.018551402806450793}"
1752538180.8302765,"{'x': 0.015900605191006906, 'y': 0.01428649470317189, 'z': 0.018364769246720432}"
1752538180.8470008,"{'x': 0.016118477407881353, 'y': 0.01412933318061068, 'z': 0.018634563745199274}"
1752538180.8637328,"{'x': 0.01593781334096479, 'y': 0.01439377285854402, 'z': 0.018466001040166487}"
1752538180.8804705,"{'x': 0.016083701726255065, 'y': 0.014149716861571434, 'z': 0.018492076304288462}"
1752538180.897225,"{'x': 0.01605019863298623, 'y': 0.014173665212692105, 'z': 0.01849613661531784}"
1752538180.913967,"{'x': 0.016057346164033558, 'y': 0.014156364202466304, 'z': 0.018452642870358825}"
1752538180.9307299,"{'x': 0.015869411562544053, 'y': 0.014277698022943267, 'z': 0.018427129418331484}"
1752538180.9474795,"{'x': 0.015971065833397732, 'y': 0.014191082442292498, 'z': 0.01848015216792038}"
1752538180.964221,"{'x': 0.01594997465958557, 'y': 0.014329588929979035, 'z': 0.018490216007457382}"
1752538180.9809737,"{'x': 0.015927557236333535, 'y': 0.014275258927261123, 'z': 0.018408396629271722}"
1752538180.9977305,"{'x': 0.016067046526495463, 'y': 0.014329473933527574, 'z': 0.018450633072167683}"
1752538181.0144985,"{'x': 0.01599932013179949, 'y': 0.014148533107790547, 'z': 0.01845767999279543}"
1752538181.0312464,"{'x': 0.016112184609144202, 'y': 0.014209498888206256, 'z': 0.018516015113552248}"
1752538181.0480087,"{'x': 0.016088411960610192, 'y': 0.014071130887737746, 'z': 0.018483295710147406}"
1752538181.0647695,"{'x': 0.015963721338762612, 'y': 0.014207917980282527, 'z': 0.018373841002895297}"
1752538181.0815778,"{'x': 0.016158791041308226, 'y': 0.014195724650120227, 'z': 0.01864712033792786}"
1752538181.0983307,"{'x': 0.016158431571487723, 'y': 0.014064070418286502, 'z': 0.018412240315565747}"
1752538181.115102,"{'x': 0.016158926364288832, 'y': 0.014292240059514483, 'z': 0.01852801103813993}"
1752538181.1318376,"{'x': 0.016103092902303388, 'y': 0.014231408023870283, 'z': 0.018441965517042948}"
1752538181.1485841,"{'x': 0.016101849835298016, 'y': 0.014224946030977414, 'z': 0.01841062101911934}"
1752538181.1653209,"{'x': 0.015897461188676007, 'y': 0.0143179065508351, 'z': 0.01841311079870452}"
1752538181.1820748,"{'x': 0.015925657878126886, 'y': 0.014146613602648623, 'z': 0.018394056827821744}"
1752538181.1988072,"{'x': 0.016000037810826994, 'y': 0.014133415681676982, 'z': 0.018433357421801667}"
1752538181.2155406,"{'x': 0.015885250091702423, 'y': 0.014298183135182583, 'z': 0.018358870637525886}"
1752538181.2322853,"{'x': 0.015968939590910766, 'y': 0.014366471884510592, 'z': 0.01845511060237545}"
1752538181.2494707,"{'x': 0.01597170358346823, 'y': 0.014126994682036782, 'z': 0.01842714527287569}"
1752538181.266241,"{'x': 0.015981357044543607, 'y': 0.014196215700363122, 'z': 0.01849679857598708}"
1752538181.2830012,"{'x': 0.015968587872439634, 'y': 0.014150489586077137, 'z': 0.01837018744727223}"
1752538181.2997718,"{'x': 0.01588406530806758, 'y': 0.014268705532204379, 'z': 0.01837872101491155}"
1752538181.3166873,"{'x': 0.01607363910237368, 'y': 0.014031771006167485, 'z': 0.018398565270885816}"
1752538181.333581,"{'x': 0.016140507581930426, 'y': 0.014173911469885546, 'z': 0.018517644729530443}"
1752538181.3505027,"{'x': 0.015856341704654556, 'y': 0.01419736446858313, 'z': 0.018441735808516452}"
1752538181.3672926,"{'x': 0.01603694319819012, 'y': 0.013936105503093075, 'z': 0.01845114928431482}"
1752538181.3841403,"{'x': 0.015926097490910906, 'y': 0.014231431377490139, 'z': 0.01834646527619146}"
1752538181.4009893,"{'x': 0.015991562270953424, 'y': 0.014096405247135567, 'z': 0.018431002482556524}"
1752538181.4179735,"{'x': 0.01590314123747297, 'y': 0.014143661517384228, 'z': 0.018421690349255965}"
1752538181.4348145,"{'x': 0.016078522680845142, 'y': 0.014033098511269552, 'z': 0.01845775215197689}"
1752538181.4516125,"{'x': 0.015943197743143487, 'y': 0.014191392829537016, 'z': 0.018395517231556326}"
1752538181.468462,"{'x': 0.015860946568281294, 'y': 0.014146153533749185, 'z': 0.018355322441133918}"
1752538181.4853048,"{'x': 0.015848432041692753, 'y': 0.014262868376364745, 'z': 0.018412285491361226}"
1752538181.502078,"{'x': 0.016051080582710466, 'y': 0.01414989093225262, 'z': 0.018521410605162453}"
1752538181.5189297,"{'x': 0.016103534220613242, 'y': 0.01424282014610602, 'z': 0.01838415268168184}"
1752538181.5356827,"{'x': 0.015951530897810054, 'y': 0.014107113808199833, 'z': 0.01838940520196166}"
1752538181.552431,"{'x': 0.015837857635720428, 'y': 0.014311914374752564, 'z': 0.018411083974305395}"
1752538181.5691876,"{'x': 0.015903476034894334, 'y': 0.014281612981379085, 'z': 0.01849773581870572}"
1752538181.5859654,"{'x': 0.015907477997890246, 'y': 0.014081377099816396, 'z': 0.018324845180667515}"
1752538181.6027365,"{'x': 0.015934233756145826, 'y': 0.014196029677640939, 'z': 0.018375602170997703}"
1752538181.6195025,"{'x': 0.015896543941170113, 'y': 0.014313452854559374, 'z': 0.0183583183241324}"
1752538181.63626,"{'x': 0.01592759982384261, 'y': 0.01430491589870266, 'z': 0.01838649275072708}"
1752538181.6530197,"{'x': 0.01607164450493146, 'y': 0.013983472815309103, 'z': 0.01838537404950986}"
1752538181.669799,"{'x': 0.015885226396562806, 'y': 0.0142580333426853, 'z': 0.01834420855447009}"
1752538181.6865833,"{'x': 0.015930190101016765, 'y': 0.01418411360248953, 'z': 0.018390458045491068}"
1752538181.703357,"{'x': 0.016038629299850567, 'y': 0.014128876571475733, 'z': 0.01840917306389988}"
1752538181.7202356,"{'x': 0.015990135046642404, 'y': 0.014241804774149758, 'z': 0.018330835620292155}"
1752538181.7370815,"{'x': 0.016112021171378568, 'y': 0.014168091923684744, 'z': 0.018430824073053614}"
1752538181.7539291,"{'x': 0.016192764048874243, 'y': 0.01411132627466948, 'z': 0.018450231007333052}"
1752538181.7708058,"{'x': 0.016101329523654, 'y': 0.014014428814186916, 'z': 0.01832766028522464}"
1752538181.7875807,"{'x': 0.016135701974183524, 'y': 0.01391076089372696, 'z': 0.018376261458735867}"
1752538181.8044293,"{'x': 0.016021562238406045, 'y': 0.01406599833358397, 'z': 0.018389466163830834}"
1752538181.8212132,"{'x': 0.015912930104551495, 'y': 0.014260167440857247, 'z': 0.018367721094062213}"
